Date,Diffused radiation (W/m^2),Global radiation (W/m^2),Relative humidity (%),Temperature (°C),Maximum temperature (°C),Minimum temperature (°C),Rainfall (mm),day,month,year
2017-05-06,101.97222222222223,270.1875,0.0,19.299999999999997,21.7,16.9,0.0,6,5,2017
2017-05-07,46.263888888888886,324.27777777777777,27.506944444444443,18.65,22.7,14.6,0.0,7,5,2017
2017-05-08,51.94444444444444,320.3263888888889,44.78472222222222,22.75,30.0,15.5,0.0,8,5,2017
2017-05-09,50.708333333333336,320.47222222222223,24.15277777777778,27.75,34.9,20.6,0.0,9,5,2017
2017-05-10,50.833333333333336,326.34722222222223,26.625,28.55,34.2,22.9,0.0,10,5,2017
2017-05-11,41.3125,337.0833333333333,68.83333333333333,21.95,25.9,18.0,0.0,11,5,2017
2017-05-12,49.513888888888886,315.875,79.38888888888889,20.0,23.0,17.0,0.0,12,5,2017
2017-05-13,42.4375,331.34722222222223,62.854166666666664,22.15,27.1,17.2,0.0,13,5,2017
2017-05-14,94.86805555555556,308.02777777777777,37.201388888888886,24.25,29.8,18.7,0.0,14,5,2017
2017-05-15,49.65972222222222,343.99305555555554,58.72222222222222,24.05,27.8,20.3,0.0,15,5,2017
2017-05-16,50.645833333333336,334.6041666666667,74.97916666666667,23.299999999999997,27.4,19.2,0.0,16,5,2017
2017-05-17,55.47222222222222,326.5486111111111,68.69444444444444,21.9,26.3,17.5,0.0,17,5,2017
2017-05-18,77.76388888888889,306.4166666666667,61.40277777777778,23.0,26.4,19.6,0.0,18,5,2017
2017-05-19,85.90277777777777,237.38194444444446,75.85416666666667,21.75,23.8,19.7,0.0,19,5,2017
2017-05-20,97.61111111111111,237.64583333333334,71.34027777777777,19.950000000000003,22.1,17.8,0.9,20,5,2017
2017-05-21,69.67132867132867,315.1468531468532,64.66433566433567,19.5,21.9,17.1,0.0,21,5,2017
2017-05-22,48.34027777777778,333.2083333333333,52.708333333333336,21.950000000000003,29.1,14.8,0.2,22,5,2017
2017-05-23,96.18055555555556,262.3888888888889,70.88888888888889,22.65,26.8,18.5,0.2,23,5,2017
2017-05-24,40.875,345.77777777777777,69.91666666666667,20.35,23.3,17.4,0.0,24,5,2017
2017-05-25,78.68055555555556,311.7708333333333,74.35416666666667,19.8,23.6,16.0,0.0,25,5,2017
2017-05-26,38.30555555555556,347.27777777777777,74.8125,19.700000000000003,22.3,17.1,0.0,26,5,2017
2017-05-27,39.861111111111114,333.1875,38.21527777777778,22.45,28.2,16.7,0.0,27,5,2017
2017-05-28,31.239436619718308,344.19718309859155,63.852112676056336,23.25,27.4,19.1,0.0,28,5,2017
2017-05-29,43.09722222222222,325.93055555555554,61.40972222222222,22.1,27.4,16.8,0.0,29,5,2017
2017-05-30,44.25694444444444,328.8958333333333,68.6875,22.65,27.8,17.5,0.0,30,5,2017
2017-05-31,27.458333333333332,339.8541666666667,68.96527777777777,21.35,25.5,17.2,0.0,31,5,2017
2017-06-01,87.61111111111111,315.52777777777777,74.15277777777777,20.3,23.1,17.5,0.0,1,6,2017
2017-06-02,43.1063829787234,335.41843971631204,78.67375886524823,21.75,24.5,19.0,0.0,2,6,2017
2017-06-03,41.84722222222222,325.875,78.6875,23.05,28.1,18.0,0.0,3,6,2017
2017-06-04,39.541666666666664,334.77777777777777,67.13194444444444,23.55,27.5,19.6,0.0,4,6,2017
2017-06-05,41.84722222222222,340.30555555555554,68.98611111111111,22.95,27.2,18.7,0.0,5,6,2017
2017-06-06,32.09027777777778,342.9791666666667,71.15277777777777,22.5,26.9,18.1,0.0,6,6,2017
2017-06-07,34.00694444444444,341.03472222222223,65.375,23.15,28.4,17.9,0.0,7,6,2017
2017-06-08,39.56944444444444,334.47222222222223,66.1875,25.25,30.0,20.5,0.0,8,6,2017
2017-06-09,62.013888888888886,325.625,58.30555555555556,26.950000000000003,31.8,22.1,0.0,9,6,2017
2017-06-10,74.05555555555556,351.8125,77.86805555555556,23.2,25.5,20.9,0.0,10,6,2017
2017-06-11,41.84027777777778,338.625,72.56944444444444,22.1,25.3,18.9,0.0,11,6,2017
2017-06-12,50.576388888888886,349.19444444444446,72.63194444444444,22.950000000000003,26.1,19.8,0.0,12,6,2017
2017-06-13,48.634328358208954,288.8880597014925,73.99253731343283,23.0,25.7,20.3,0.0,13,6,2017
2017-06-14,70.86805555555556,299.7083333333333,69.5625,22.5,26.8,18.2,0.0,14,6,2017
2017-06-15,58.083333333333336,315.46527777777777,76.56944444444444,23.35,26.3,20.4,0.0,15,6,2017
2017-06-16,37.78472222222222,340.93055555555554,79.19444444444444,24.15,27.3,21.0,0.0,16,6,2017
2017-06-17,43.68055555555556,336.72222222222223,78.76388888888889,24.450000000000003,27.1,21.8,0.0,17,6,2017
2017-06-18,39.375,341.90277777777777,73.81944444444444,25.45,29.2,21.7,0.0,18,6,2017
2017-06-19,48.666666666666664,335.6111111111111,66.20833333333333,24.05,27.6,20.5,0.0,19,6,2017
2017-06-20,73.625,322.61805555555554,71.73611111111111,23.85,25.8,21.9,0.0,20,6,2017
2017-06-21,104.20833333333333,232.88888888888889,68.85416666666667,22.25,25.2,19.3,0.0,21,6,2017
2017-06-22,43.708333333333336,347.69444444444446,70.58333333333333,23.5,26.1,20.9,0.0,22,6,2017
2017-06-23,39.104166666666664,355.6111111111111,75.13194444444444,23.5,26.5,20.5,0.0,23,6,2017
2017-06-24,36.75694444444444,349.7083333333333,74.75,24.6,28.2,21.0,0.0,24,6,2017
